"Jahr","abschluss_sekundarstufe1_f","abschluss_sekundarstunfe1_m","abschluss_sekundarstufe1_g","abschluss_grundschule_f","abschluss_grundschule_m","abschluss_grundschule_g","abschluss_sekundarstufe2_f","abschluss_sekdunarstufe2_m","abschluss_sekundarstufe2_g","min_BA_25_f ","min_BA_25_m (3)","min_BA_25_g (2)","min_MA_25_f","min_MA_25_m","min_MA_25_g","min_Promo_25_f","min_Promo_25_m","min_Promo_25_g","beruf_höhere_B_g","beruf_höhereB_f","beruf_höhere_B_m","beruf_basic_B_g","beruf_basic_B_f","beruf_basic_B_m","beruf_mittlere_B_g","beruf_mittlere_B_f","beruf_mittlere_B_m","arbeitslos_höh_B_g","arbeitslos_höh_B_f","arbeitslos_höh_B_m","arbeitslos_grund_B_g","arbeitslos_grund_B_f","arbeitslos_grund_B_m","arbeitslos_mit_B_g","arbeitslos_mit_B_f","arbeitslos_mit_B_m","übergang_weiterführende_schule_g","übergang_weiterführende_schule_f","übergang_weiterführende_Schule_m","einschulung_grund_g","einschulung_grund_f","einschulung_grund_m","einschulung_sekundarstufe_g","einschulung_sekundarstufe_f","einschulung_sekundarstufe_m","einschreibung_hochschule_g","einschreibunng_hochschule_f","einschreibung_hochschule_m","fa_geisteswissenschaften","fa_wirtschaft_recht","fa_agrar","fa_mint","fa_ingenieur","fa_gesundheit","fa_kommunikation","fa_mathematisch","fa_andere","fa_dienstleistung","fa_sozialwissenschaften","fa_unbekannt","fa_bildungsprogramm"
2019,,,,,,,,,,,,,,,,,,,74.1,74.1,74.0,40.3,30.7,53.3,64.5,60.7,68.6,1.8,1.8,1.8,7.9,6.4,9.1,2.7,2.3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018,97.56,96.55,96.33,100.0,100.0,100.0,80.11,86.94,83.46,21.1,29.36,25.15,10.48,11.94,11.2,0.87,1.65,1.25,73.44,73.67,73.28,39.3,30.08,51.97,64.22,60.41,68.3,1.87,1.93,1.83,8.79,7.0,10.22,2.88,2.47,3.27,,,,,,,,,,70.34,71.49,69.29,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,73.56,73.8,73.38,38.87,30.07,51.11,64.45,60.7,68.46,1.98,1.98,1.97,9.44,7.93,10.67,3.29,2.9,3.67,,,,90.14,,,85.3,84.69,85.87,70.25,70.71,69.82,69.76,53.05,42.32,27.56,21.12,70.58,19.41,46.76,64.17,52.73,65.7,52.28,81.46
2016,97.56,96.83,96.51,100.0,100.0,100.0,78.61,87.63,83.01,20.69,30.72,25.58,10.63,12.43,11.51,0.84,1.83,1.32,73.75,74.29,73.37,38.04,29.4,50.45,64.62,60.97,68.51,2.19,2.26,2.13,10.06,8.68,11.22,3.69,3.3,4.06,99.5,98.98,100.0,90.42,91.32,89.56,85.47,85.24,85.68,69.58,69.46,69.69,69.82,54.4,41.17,27.14,20.49,70.77,18.14,46.95,64.05,53.27,65.46,47.61,81.07
2015,97.56,97.01,96.72,100.0,100.0,100.0,78.3,88.15,83.08,19.81,29.98,24.74,10.1,12.02,11.03,0.83,1.77,1.29,73.34,74.08,72.82,37.22,28.76,49.94,63.68,60.05,67.55,2.32,2.54,2.17,11.15,9.52,12.56,4.24,3.76,4.69,99.91,99.81,100.0,89.23,90.11,88.4,86.12,86.07,86.17,67.75,67.04,68.41,70.28,53.54,41.73,26.85,19.97,70.98,17.64,46.7,63.73,54.39,64.4,40.46,80.66
2014,97.56,97.09,96.8,100.0,100.0,100.0,77.93,88.39,83.0,19.13,29.57,24.18,9.77,11.79,10.75,0.79,1.76,1.26,73.64,74.4,73.12,37.15,28.55,50.47,64.1,60.44,67.98,2.47,2.75,2.27,11.71,9.88,13.32,4.63,4.24,5.0,99.63,99.25,100.0,87.9,88.68,87.16,86.63,86.51,86.75,65.5,63.94,66.98,,,,,,,,,,,,,
2013,97.56,97.0,96.67,100.0,100.0,100.0,77.07,87.84,82.31,,,,,,,,,,73.98,74.62,73.49,40.76,30.79,57.42,63.81,59.73,67.98,2.35,2.59,2.16,11.79,10.14,13.28,5.09,4.73,5.41,99.69,99.36,100.0,87.94,88.65,87.26,87.32,87.16,87.48,61.39,59.43,63.24,,,,,,,,,,,,,
2012,97.56,97.1,96.73,100.0,100.0,100.0,76.48,87.95,82.05,,,,,,,,,,74.16,74.88,73.62,40.29,30.43,57.22,63.65,59.32,68.07,2.31,2.6,2.09,12.19,10.89,13.38,5.23,4.94,5.48,99.34,,,88.29,88.97,87.65,88.03,87.67,88.38,,,,,,,,,,,,,,,,
2011,97.56,97.08,96.71,100.0,100.0,100.0,75.96,87.84,81.72,,,,,,,,,,74.39,75.15,73.83,40.33,30.44,57.46,63.83,59.63,68.15,2.37,2.66,2.16,12.94,11.66,14.11,5.7,5.31,6.05,,,,88.52,89.05,88.01,88.48,88.15,88.79,,,,,,,,,,,,,,,,
2010,97.56,96.94,96.52,100.0,100.0,100.0,75.17,87.47,81.13,,,,,,,,,,73.47,74.19,72.96,37.06,28.44,51.09,63.46,59.22,67.86,3.02,3.24,2.86,14.69,12.78,16.41,6.83,6.23,7.37,,,,88.84,89.41,88.31,88.12,87.81,88.42,,,,,,,,,,,,,,,,
2009,97.56,97.08,96.71,100.0,100.0,100.0,74.38,87.26,80.62,,,,,,,,,,73.53,74.23,73.04,37.76,29.06,51.75,63.66,59.33,68.09,3.39,3.72,3.16,15.62,13.8,17.27,7.6,6.99,8.15,,,,88.03,88.67,87.41,88.17,87.82,88.51,,,,,,,,,,,,,,,,
2008,97.56,97.12,96.74,100.0,100.0,100.0,73.67,87.11,80.16,,,,,,,,,,73.41,73.79,73.15,37.75,29.08,51.8,63.88,59.4,68.45,3.31,3.94,2.88,15.3,14.21,16.29,7.22,7.23,7.22,,,,88.31,88.93,87.72,89.52,89.51,89.53,,,,,,,,,,,,,,,,
2007,97.56,97.44,97.09,100.0,100.0,100.0,72.42,86.29,79.11,,,,,,,,,,73.92,74.14,73.77,38.0,29.63,51.47,64.14,59.74,68.58,3.82,4.47,3.38,16.98,15.87,18.01,8.25,8.24,8.26,99.54,99.23,99.84,88.73,89.43,88.06,89.12,89.1,89.15,,,,,,,,,,,,,,,,
2006,97.56,97.28,96.93,100.0,100.0,100.0,70.93,85.26,77.85,,,,,,,,,,74.51,74.63,74.42,38.36,29.84,52.08,64.05,59.63,68.49,4.79,5.29,4.47,18.63,17.47,19.7,9.9,9.57,10.19,99.32,99.1,99.53,88.31,89.02,87.63,89.72,89.61,89.82,,,,,,,,,,,,,,,,
2005,97.56,97.33,96.9,100.0,100.0,100.0,70.55,85.26,77.62,,,,,,,,,,74.3,73.96,74.51,37.24,28.82,50.98,63.75,59.05,68.5,5.51,6.02,5.19,19.12,17.21,20.88,11.13,10.62,11.57,99.59,99.34,99.82,87.01,87.79,86.26,90.09,89.89,90.28,,,,,,,,,,,,,,,,
2004,97.56,97.96,97.75,100.0,100.0,100.0,71.26,86.18,78.48,,,,,,,,,,74.56,74.54,74.56,34.97,26.57,49.09,62.77,58.03,67.53,5.4,5.87,5.09,17.62,15.11,19.91,11.15,10.22,11.95,99.82,99.64,100.0,86.24,86.99,85.52,89.77,89.61,89.93,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,75.23,74.66,75.59,36.25,28.08,50.07,63.32,58.49,68.17,4.97,5.71,4.52,15.73,13.07,18.25,10.02,9.34,10.61,99.64,99.46,99.82,85.0,85.72,84.31,89.63,89.46,89.79,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,75.26,74.15,75.94,36.49,28.22,50.74,63.88,58.9,68.81,4.26,4.79,3.94,13.34,11.56,15.04,8.66,8.24,9.02,99.76,99.51,100.0,84.71,85.37,84.08,89.58,89.39,89.77,,,,66.55,42.93,33.53,23.13,17.43,74.27,11.33,41.66,62.75,53.68,57.57,52.31,77.72
2001,,,,,,,,,,,,,,,,,,,75.81,74.59,76.52,36.94,28.72,51.24,63.84,58.57,69.12,4.13,4.87,3.71,11.55,10.05,13.01,8.04,7.91,8.15,99.784,99.625,99.935,82.936,,,,,,,,,66.195,41.823,34.019,22.414,17.021,72.254,12.37,39.369,62.149,55.082,57.189,39.631,78.09
2000,,,,,,,,,,,,,,,,,,,76.31,74.97,77.11,42.97,31.73,64.29,64.33,58.74,69.94,4.26,5.2,3.72,12.53,11.33,13.65,7.89,8.24,7.59,99.903,99.801,100.0,86.465,87.114,85.846,,,,,,,66.885,40.912,30.983,21.671,16.592,70.045,10.641,37.197,60.894,53.56,54.132,61.082,78.571
1999,,,,,,,,,,,,,,,,,,,76.63,75.54,77.26,43.32,32.07,64.59,64.88,59.02,70.71,5.03,5.75,4.63,13.89,12.95,14.77,8.65,9.01,8.34,99.873,99.739,100.0,86.868,87.532,86.236,,,,,,,65.767,39.355,30.992,20.88,15.393,70.375,11.687,37.145,60.433,54.082,54.531,50.483,78.146
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,6.64,4.88,14.93,14.01,15.8,9.95,10.49,9.51,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,79.6,76.52,81.36,41.15,32.89,54.35,68.54,62.22,74.68,,,,,,,,,,,,,,,,,,,47.79,44.7,50.76,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,80.45,77.01,82.39,41.16,32.69,54.86,68.58,62.24,74.72,,,,,,,,,,99.99,99.99,100.0,,,,,,,46.94,42.83,50.87,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,80.65,76.89,82.73,42.63,33.52,58.64,67.3,60.22,74.27,,,,,,,,,,99.92,100.0,99.84,,,,,,,45.33,40.27,50.15,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,80.51,76.6,82.66,43.65,33.95,60.93,67.74,60.22,75.17,,,,,,,,,,99.99,100.0,99.98,,,,,,,42.5,36.85,47.89,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,81.2,77.14,83.38,44.66,34.92,62.35,67.29,59.46,74.89,,,,,,,,,,99.97,99.94,100.0,,,,,,,39.42,33.91,44.67,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,80.78,75.88,83.43,44.25,34.95,60.63,68.34,60.24,76.34,,,,,,,,,,,,,,,,,,,35.43,30.08,40.53,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,
